"","Player","Season","Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls_Performance","Ast_Performance","PK_Performance","PKatt_Performance","Sh_Performance","SoT_Performance","CrdY_Performance","CrdR_Performance","Touches_Performance","Tkl_Performance","Int_Performance","Blocks_Performance","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"11","Thomas Müller","2019-2020","2019-10-05","Sat","Bundesliga","Matchweek 7","Home","L 1–2","Bayern Munich","Hoffenheim","N","AM",31,0,1,0,0,1,0,0,0,24,1,0,0,0.1,0.1,0.9,5,1,16,21,76.2,2,10,2,0,0
"12","Thomas Müller","2019-2020","2019-10-19","Sat","Bundesliga","Matchweek 8","Away","D 2–2","Bayern Munich","Augsburg","N","AM",11,0,0,0,0,1,0,0,0,12,0,0,0,0.4,0.4,0,0,0,7,10,70,1,4,1,0,0
"13","Thomas Müller","2019-2020","2019-10-22","Tue","Champions Lg","Group stage","Away","W 3–2","Bayern Munich","Olympiacos","Y","FW,RW",85,0,2,0,0,3,1,0,0,40,3,1,0,0.2,0.2,0.6,4,2,18,27,66.7,2,14,1,2,1
"14","Thomas Müller","2019-2020","2019-10-26","Sat","Bundesliga","Matchweek 9","Home","W 2–1","Bayern Munich","Union Berlin","Y","CM",90,0,0,0,0,2,2,0,0,58,3,0,1,0.5,0.5,0.2,6,0,44,52,84.6,6,40,1,1,1
"15","Thomas Müller","2019-2020","2019-10-29","Tue","DFB-Pokal","Second round","Away","W 2–1","Bayern Munich","Bochum","N","",26,1,0,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Thomas Müller","2019-2020","2019-11-02","Sat","Bundesliga","Matchweek 10","Away","L 1–5","Bayern Munich","Eint Frankfurt","Y","RM,RW,CM",63,0,0,0,0,0,0,0,0,33,1,0,2,0,0,0.5,2,0,18,27,66.7,0,23,0,0,0
"17","Thomas Müller","2019-2020","2019-11-06","Wed","Champions Lg","Group stage","Home","W 2–0","Bayern Munich","Olympiacos","Y","AM,RW",90,0,0,0,0,2,1,0,0,60,3,0,1,0.1,0.1,0.3,6,0,35,48,72.9,5,29,1,1,0
"18","Thomas Müller","2019-2020","2019-11-09","Sat","Bundesliga","Matchweek 11","Home","W 4–0","Bayern Munich","Dortmund","Y","CM",90,0,2,0,0,2,0,0,0,69,4,0,3,0.1,0.1,1,5,2,42,55,76.4,7,29,5,1,0
"19","Thomas Müller","2019-2020","2019-11-23","Sat","Bundesliga","Matchweek 12","Away","W 4–0","Bayern Munich","Düsseldorf","Y","CM",90,0,2,0,0,1,0,0,0,62,0,0,0,0.1,0.1,0.6,7,3,43,55,78.2,3,30,2,0,0
"20","Thomas Müller","2019-2020","2019-11-26","Tue","Champions Lg","Group stage","Away","W 6–0","Bayern Munich","Red Star","N","FW",14,0,0,0,0,1,1,0,0,9,1,0,1,0.1,0.1,0,0,0,4,5,80,1,2,0,1,0
"21","Thomas Müller","2019-2020","2019-11-30","Sat","Bundesliga","Matchweek 13","Home","L 1–2","Bayern Munich","Leverkusen","Y","CM",68,1,0,0,0,2,2,0,0,55,2,0,1,0.1,0.1,0.4,3,0,37,47,78.7,5,34,1,0,0
"22","Thomas Müller","2019-2020","2019-12-07","Sat","Bundesliga","Matchweek 14","Away","L 1–2","Bayern Munich","Gladbach","Y","AM,RW,DM",90,0,1,0,0,2,1,0,0,61,2,3,0,0.6,0.6,0.3,7,1,38,45,84.4,9,32,3,2,1
"23","Thomas Müller","2019-2020","2019-12-11","Wed","Champions Lg","Group stage","Home","W 3–1","Bayern Munich","Tottenham","N","FW,LW",64,1,0,0,0,3,1,0,0,45,1,0,2,0.8,0.8,0.2,4,0,27,33,81.8,3,35,1,1,0
"24","Thomas Müller","2019-2020","2019-12-14","Sat","Bundesliga","Matchweek 15","Home","W 6–1","Bayern Munich","Werder Bremen","N","DM",21,1,1,0,0,1,1,0,0,24,1,0,1,0.5,0.5,0.5,1,1,16,18,88.9,2,10,0,1,0
"25","Thomas Müller","2019-2020","2019-12-18","Wed","Bundesliga","Matchweek 16","Away","W 3–1","Bayern Munich","Freiburg","Y","RM",62,0,0,0,0,3,0,1,0,48,1,0,0,0.5,0.5,0.9,5,0,34,43,79.1,5,24,0,0,0
"26","Thomas Müller","2019-2020","2019-12-21","Sat","Bundesliga","Matchweek 17","Home","W 2–0","Bayern Munich","Wolfsburg","Y","RM",90,0,1,0,0,2,0,1,0,63,2,0,1,0.1,0.1,0.5,9,2,40,54,74.1,6,33,8,1,1
"27","Thomas Müller","2019-2020","2020-01-19","Sun","Bundesliga","Matchweek 18","Away","W 4–0","Bayern Munich","Hertha BSC","Y","RW",86,1,1,0,0,1,1,0,0,81,1,1,0,0.5,0.5,0.5,7,1,57,78,73.1,6,56,6,1,0
"28","Thomas Müller","2019-2020","2020-01-25","Sat","Bundesliga","Matchweek 19","Home","W 5–0","Bayern Munich","Schalke 04","Y","RW",90,1,0,0,0,2,2,0,0,75,4,0,0,0.9,0.9,0.7,3,0,49,62,79,3,37,2,1,1
"29","Thomas Müller","2019-2020","2020-02-01","Sat","Bundesliga","Matchweek 20","Away","W 3–1","Bayern Munich","Mainz 05","Y","RW",64,1,0,0,0,1,1,0,0,39,1,0,0,0.4,0.4,0,1,1,19,32,59.4,3,24,0,1,0
