Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2021,Monaco,Ligue 1,team,30,24.8,55.8,38,418,3420,38,76,52,128,64,12,15,78,7,68.7,56.9,46.7,103.6,757,1750,2,1.37,3.37,1.68,3.05,1.81,1.23,3.04,1.5,2.73,https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats
2021,Montpellier,Ligue 1,team,25,28,45.7,38,418,3420,38,60,42,102,58,2,5,65,7,51.9,48.1,33.8,81.9,619,1315,1.58,1.11,2.68,1.53,2.63,1.37,0.89,2.26,1.27,2.16,https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats
2021,Nantes,Ligue 1,team,25,25.8,43.9,38,418,3420,38,47,28,75,39,8,9,70,4,49,42.1,29.4,71.5,656,1350,1.24,0.74,1.97,1.03,1.76,1.29,0.77,2.06,1.11,1.88,https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats
2021,Napoli,Serie A,team,25,27.1,55.1,38,418,3420,38,83,56,139,76,7,8,76,3,67.7,61.4,46.9,108.3,884,1703,2.18,1.47,3.66,2,3.47,1.78,1.23,3.02,1.62,2.85,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats
2021,Newcastle Utd,Premier League,team,27,27.1,38.8,38,418,3420,38,44,26,70,38,6,7,65,3,43.4,37.8,29,66.8,467,903,1.16,0.68,1.84,1,1.68,1.14,0.76,1.91,1,1.76,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
2021,Nice,Ligue 1,team,31,23.5,54.3,38,418,3420,38,49,26,75,42,7,7,73,4,47.9,42.7,29.9,72.6,784,1531,1.29,0.68,1.97,1.11,1.79,1.26,0.79,2.05,1.12,1.91,https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats
2021,Nîmes,Ligue 1,team,33,25.8,44.4,38,418,3420,38,40,26,66,33,7,8,60,5,43.3,37,29.9,66.9,520,1200,1.05,0.68,1.74,0.87,1.55,1.14,0.79,1.93,0.97,1.76,https://fbref.com/en/squads/1cbf5f9e/2020-2021/Nimes-Stats
2021,Osasuna,La Liga,team,28,27.9,43.2,38,418,3420,38,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57,https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats
2021,Paris S-G,Ligue 1,team,33,26.7,63.1,38,418,3420,38,84,52,136,72,12,13,79,7,80.1,70.1,55.6,125.8,909,2089,2.21,1.37,3.58,1.89,3.26,2.11,1.46,3.57,1.85,3.31,https://fbref.com/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
2021,Parma,Serie A,team,42,28,47.8,38,418,3420,38,39,26,65,34,5,5,91,1,42.5,38.6,30.5,69,607,1319,1.03,0.68,1.71,0.89,1.58,1.12,0.8,1.92,1.01,1.82,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats
2021,RB Leipzig,Bundesliga,team,25,25,59.7,34,374,3060,34,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1718,1.74,1.29,3.03,1.5,2.79,1.89,1.28,3.18,1.67,2.95,https://fbref.com/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
2021,Real Madrid,La Liga,team,30,27.9,59.3,38,418,3420,38,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3,1.62,1.25,2.87,1.56,2.8,https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2021,Real Sociedad,La Liga,team,30,25,54.9,38,418,3420,38,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.6,1.04,2.64,1.36,2.4,https://fbref.com/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2021,Reims,Ligue 1,team,29,24.6,44.9,38,418,3420,38,39,23,62,34,5,5,77,8,32.7,28.9,21.7,50.6,698,1246,1.03,0.61,1.63,0.89,1.5,0.86,0.57,1.43,0.76,1.33,https://fbref.com/en/squads/7fdd64e0/2020-2021/Reims-Stats
2021,Rennes,Ligue 1,team,32,25.5,59.1,38,418,3420,38,50,39,89,47,3,3,79,5,47.8,45.4,35.3,80.7,741,1883,1.32,1.03,2.34,1.24,2.26,1.26,0.93,2.19,1.2,2.12,https://fbref.com/en/squads/b3072e00/2020-2021/Rennes-Stats
2021,Roma,Serie A,team,31,26.7,52.2,38,418,3420,38,67,51,118,60,7,8,91,3,65.3,59,48.2,107.2,863,1583,1.76,1.34,3.11,1.58,2.92,1.72,1.27,2.98,1.55,2.82,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats
2021,Saint-Étienne,Ligue 1,team,40,25.4,48.3,38,418,3420,38,40,28,68,34,6,9,76,2,48.7,41.8,31.6,73.4,615,1229,1.05,0.74,1.79,0.89,1.63,1.28,0.83,2.11,1.1,1.93,https://fbref.com/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
2021,Sampdoria,Serie A,team,27,27.9,45.2,38,418,3420,38,52,37,89,47,5,6,83,3,45.4,41.1,31.9,73,588,1370,1.37,0.97,2.34,1.24,2.21,1.2,0.84,2.04,1.08,1.92,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
